,gE,I3_minus_mean,I3_minus_std,I3_minus_distal,I3_minus_adj_mean,delta_topo,J_rho_exp_mean,J_tot_mean,eta_mean,P_pair_mean,N_pair_sum_mean,N_DE,I_DE
0,0.05,0.10865977929297997,2.236266940024554e-05,0.10869691587732366,0.10864740043153208,4.951544579158418e-05,1.4710248010014095,20.443161372845907,0.07255785238404684,0.581571338135217,0.2408196499445019,4.219006261464593e-05,0.00012814104929598225
1,0.1,0.1091717392924008,7.339058814980964e-05,0.10929319813525512,0.10913125301144937,0.000161945123805754,1.465020109566238,20.443161372845907,0.07232998296459642,0.5811483492023839,0.24076750050288892,0.00016342391436448498,0.00045146263638068396
2,0.2,0.10997392334739205,0.00023104263478995187,0.11035331952643562,0.10984745795437752,0.0005058615720581056,1.4539879149076766,20.443161372845907,0.07192540602854622,0.5802484212009926,0.24063990875506577,0.0006076379107290464,0.00154294771439345
3,0.3,0.11052451150647762,0.00044125501835599906,0.11124316791456423,0.11028495937044874,0.0009582085441154908,1.444023257948737,20.443161372845907,0.07157481415040548,0.5792888861605532,0.24048477895708356,0.0012570256939527635,0.0030916701556112924
4,0.5,0.1109726084644187,0.0009693360773781092,0.11252667077266243,0.11045458769500412,0.0020720830776583127,1.4263370138292153,20.443161372845907,0.0709768934351678,0.5772450156899986,0.24010903875157,0.0028661298253115255,0.007098785453620748
5,0.8,0.11018084896206222,0.0019433806264243297,0.11324420756595838,0.10915972942743017,0.004084478138528205,1.402886487333597,20.443161372845907,0.0701797112275761,0.5740098424330793,0.2394391826942251,0.005105054467274762,0.01414018491599961
6,1.0,0.10874094490119036,0.00267617608316179,0.11294276975651202,0.10734033661608315,0.005602433140428867,1.3880472896540816,20.443161372845907,0.06963491439545086,0.5717861425305231,0.23895275560398374,0.005987248966590536,0.018861548045902787
7,1.5,0.1021672096757757,0.0046689298074929905,0.10964058081523043,0.09967608596262412,0.00996449485260631,1.3484253571322016,20.443161372845907,0.06794174312545584,0.5657410561396145,0.2375961277116273,0.005424813721971233,0.029496509608415156
8,2.0,0.09195321700948646,0.006711620013555063,0.10314412492622582,0.08822291437057334,0.014921210555652487,1.2921473933112644,20.443161372845907,0.06521942471314032,0.5578280544821805,0.235692158378992,0.0034383852143013284,0.03957862557965791
